repo_id,date,stars
132750724,2026-05-12,500789
21737465,2026-05-12,465511
28457823,2026-05-12,444548
54346799,2026-05-12,434299
13491895,2026-05-12,388123
1103012935,2026-05-12,371102
85077558,2026-05-12,354637
83222441,2026-05-12,348060
60493101,2026-05-12,346618
21289110,2026-05-12,297225
36633370,2026-05-12,291664
177736533,2026-05-12,276167
88011908,2026-05-12,265470
10270250,2026-05-12,244971
2325298,2026-05-12,232898
63476337,2026-05-12,220965
138393139,2026-05-12,219909
11730342,2026-05-12,209758
19415064,2026-05-12,203737
126577260,2026-05-12,195950
45717250,2026-05-12,195088
1197021090,2026-05-12,191176
193215554,2026-05-12,187539
1073224795,2026-05-12,187436
291137,2026-05-12,186952
41881900,2026-05-12,184829
14440270,2026-05-12,184452
121395510,2026-05-12,184338
614765452,2026-05-12,184210
123458551,2026-05-12,182369
1136590548,2026-05-12,180060
31792824,2026-05-12,176291
233472199,2026-05-12,174965
2126244,2026-05-12,174239
1062897,2026-05-12,173855
21540759,2026-05-12,172451
658928958,2026-05-12,171257
527591471,2026-05-12,162993
574523116,2026-05-12,162087
307260205,2026-05-12,161865
808144141,2026-05-12,161809
35955666,2026-05-12,160919
155220641,2026-05-12,160513
975734319,2026-05-12,158931
58028038,2026-05-12,156373
132464395,2026-05-12,155602
6498492,2026-05-12,148118
599320067,2026-05-12,148010
1024554267,2026-05-12,146078
626805178,2026-05-12,141078
1039520,2026-05-12,140272
111583593,2026-05-12,139791
62607227,2026-05-12,139486
70107786,2026-05-12,139406
943398999,2026-05-12,137227
701547123,2026-05-12,136738
552661142,2026-05-12,136522
23096959,2026-05-12,133850
241576270,2026-05-12,133424
184456251,2026-05-12,133078
1061953414,2026-05-12,132758
112507086,2026-05-12,127771
1142983825,2026-05-12,126336
561730219,2026-05-12,126146
29028775,2026-05-12,125798
231283452,2026-05-12,122990
888092115,2026-05-12,122792
937253475,2026-05-12,122787
20580498,2026-05-12,122208
32484381,2026-05-12,122193
9384267,2026-05-12,121243
787076358,2026-05-12,118672
721767116,2026-05-12,117559
27193779,2026-05-12,117165
14098069,2026-05-12,116916
157616880,2026-05-12,116164
585146387,2026-05-12,114121
299354207,2026-05-12,113991
943149,2026-05-12,112875
724712,2026-05-12,112726
589831718,2026-05-12,112576
576201,2026-05-12,112420
55076063,2026-05-12,112073
655806940,2026-05-12,110701
15634981,2026-05-12,110606
793375104,2026-05-12,109914
612354784,2026-05-12,109695
23088740,2026-05-12,109050
20929025,2026-05-12,108821
206462776,2026-05-12,107917
133442384,2026-05-12,106650
196701619,2026-05-12,106522
48378947,2026-05-12,106445
15204860,2026-05-12,106103
199570071,2026-05-12,105325
103633984,2026-05-12,105259
63539055,2026-05-12,103896
968197216,2026-05-12,103764
908531752,2026-05-12,103472
63537249,2026-05-12,103390
100060912,2026-05-12,103127
214587193,2026-05-12,102212
455229168,2026-05-12,100363
24195339,2026-05-12,100086
243950408,2026-05-12,99892
65600975,2026-05-12,99849
16408992,2026-05-12,99588
537603333,2026-05-12,99351
101296881,2026-05-12,98921
23083156,2026-05-12,98320
160919119,2026-05-12,98119
34526884,2026-05-12,98001
33614304,2026-05-12,96893
1042367133,2026-05-12,96674
1075372545,2026-05-12,96324
311525798,2026-05-12,95747
106017343,2026-05-12,94957
74791366,2026-05-12,94323
90796663,2026-05-12,94301
1179264259,2026-05-12,94270
22790488,2026-05-12,93984
172562475,2026-05-12,93845
881458615,2026-05-12,93533
669879380,2026-05-12,93366
612230,2026-05-12,93339
695864515,2026-05-12,92932
919443098,2026-05-12,92008
152870372,2026-05-12,90866
88464704,2026-05-12,90270
357728969,2026-05-12,89919
54173593,2026-05-12,89889
1181927,2026-05-12,89061
221981891,2026-05-12,88510
20904437,2026-05-12,88481
11180687,2026-05-12,88029
26066727,2026-05-12,88003
612344730,2026-05-12,87974
4164482,2026-05-12,87468
5108051,2026-05-12,87440
12888993,2026-05-12,87025
32689863,2026-05-12,86759
896335270,2026-05-12,86758
382496361,2026-05-12,86587
74293321,2026-05-12,86549
343965132,2026-05-12,85743
44882201,2026-05-12,85505
890668799,2026-05-12,85502
699532645,2026-05-12,84776
1863329,2026-05-12,84237
14712850,2026-05-12,83913
127988011,2026-05-12,83587
52631841,2026-05-12,83426
162998479,2026-05-12,83240
693342566,2026-05-12,82588
340547520,2026-05-12,82550
2561582,2026-05-12,82520
47018239,2026-05-12,82497
212639071,2026-05-12,82284
965415649,2026-05-12,82046
26500787,2026-05-12,81593
71583602,2026-05-12,81130
578822531,2026-05-12,81105
6296790,2026-05-12,80618
1174820787,2026-05-12,80602
145553672,2026-05-12,80592
257485422,2026-05-12,80554
730534580,2026-05-12,80326
13807606,2026-05-12,80180
599547518,2026-05-12,79762
278335273,2026-05-12,79392
655099582,2026-05-12,79233
203587744,2026-05-12,79162
151834062,2026-05-12,78978
10744183,2026-05-12,78779
594155488,2026-05-12,78619
134017286,2026-05-12,77820
101138315,2026-05-12,77799
262296122,2026-05-12,77669
51117837,2026-05-12,77660
71220757,2026-05-12,77648
172953845,2026-05-12,77511
619959033,2026-05-12,77366
1106996539,2026-05-12,77309
643445235,2026-05-12,76909
507775,2026-05-12,76683
160640094,2026-05-12,76624
3470471,2026-05-12,76589
246335987,2026-05-12,76577
1197515131,2026-05-12,76152
83999700,2026-05-12,76050
14747598,2026-05-12,75559
80945428,2026-05-12,75466
26898879,2026-05-12,75322
1048065319,2026-05-12,75079
579082810,2026-05-12,74469
1148788086,2026-05-12,74443
156018,2026-05-12,74300
909213664,2026-05-12,74140
641656392,2026-05-12,74098
22887094,2026-05-12,74041
254832799,2026-05-12,73791
15111821,2026-05-12,73687
44571718,2026-05-12,73592
468576060,2026-05-12,73465
22670857,2026-05-12,73240
771302083,2026-05-12,73234
22067521,2026-05-12,73150
619859161,2026-05-12,73121
523379232,2026-05-12,72989
39464018,2026-05-12,72798
419347358,2026-05-12,72723
81598961,2026-05-12,72657
107111421,2026-05-12,72589
718741813,2026-05-12,72569
21872392,2026-05-12,72443
753490180,2026-05-12,72410
29207621,2026-05-12,72363
13233158,2026-05-12,72314
43441403,2026-05-12,72143
7691631,2026-05-12,71548
596892,2026-05-12,71522
77213120,2026-05-12,71243
23357588,2026-05-12,71216
21935031,2026-05-12,71205
1861458,2026-05-12,71185
646410686,2026-05-12,71175
115478820,2026-05-12,70967
231865705,2026-05-12,70951
3482588,2026-05-12,70859
616372661,2026-05-12,70621
377496562,2026-05-12,70402
163883279,2026-05-12,70256
44838949,2026-05-12,69978
237159,2026-05-12,69015
596115135,2026-05-12,68577
3638964,2026-05-12,68522
173228436,2026-05-12,68364
26689598,2026-05-12,68349
519859998,2026-05-12,68305
1031912724,2026-05-12,68224
53809090,2026-05-12,68016
660551251,2026-05-12,67910
18408635,2026-05-12,67831
323048702,2026-05-12,67452
8843683,2026-05-12,67406
979115477,2026-05-12,67093
290091948,2026-05-12,66599
147350463,2026-05-12,66386
9185792,2026-05-12,66330
620936652,2026-05-12,66209
