repo_id,contributor_login,user_id,type,site_admin
28457823,scissorsneedfoodtoo,2051070,User,False
28457823,jdwilkin4,67210629,User,False
28457823,Supravisor,153783117,User,False
28457823,abhisekp,1029200,User,False
28457823,a2937,9373245,User,False
28457823,ValeraS,10867286,User,False
28457823,gikf,60067306,User,False
28457823,Greenheart,6125097,User,False
28457823,clarencepenz,11736897,User,False
28457823,Dario-DC,105294544,User,False
28457823,Sboonny,88248797,User,False
28457823,lasjorg,28780271,User,False
28457823,Manish-Giri,11348778,User,False
28457823,thecodingaviator,34807532,User,False
28457823,zairahira,33151350,User,False
28457823,pdtrang,6422507,User,False
28457823,Giftea,70780434,User,False
28457823,anastasiiauk,109740924,User,False
28457823,Nirajn2311,36357875,User,False
28457823,sidemt,25644062,User,False
28457823,DanielRosa74,58576743,User,False
28457823,no-stack-dub-sack,18563015,User,False
28457823,greenkeeperio-bot,14790466,User,False
28457823,vtamara,701221,User,False
28457823,systimotic,7262039,User,False
28457823,miyaliu666,19358186,User,False
28457823,bbsmooth,5926192,User,False
28457823,Jeevankumar-s,110320697,User,False
28457823,beaucarnes,1513130,User,False
28457823,AryanJ-NYC,8263430,User,False
28457823,BKinahan,15965601,User,False
28457823,greggubarev,22465386,User,False
28457823,Ksound22,65571316,User,False
28457823,jonathan-grah,30289773,User,False
28457823,gagan-bhullar-tech,12146816,User,False
28457823,justinian336,12584257,User,False
28457823,AdityaSingh-18,171328511,User,False
28457823,estefaniacn,85124911,User,False
28457823,darthmeme,42481527,User,False
28457823,nieldakarla,90112119,User,False
28457823,alvinkl,18324040,User,False
28457823,iamrajiv,42106787,User,False
28457823,hbar1st,35541470,User,False
28457823,jeremylt,25011573,User,False
28457823,CleoAguiar,29049143,User,False
28457823,mmatsumoto1026,44451585,User,False
28457823,natac13,10660283,User,False
28457823,JungLee-Dev,122341199,User,False
28457823,c0d1ng-ma5ter,185078908,User,False
28457823,alistermada,12993334,User,False
28457823,ZhichengChen,2597170,User,False
28457823,BTmathic,37451552,User,False
