user_id,repo_id,exact_contributions
10952397,3482588,1
90601662,155220641,1
2766569,15634981,1
17753315,155220641,1
334504,3482588,1
18672871,643445235,1
32009993,34526884,1
2953176,34526884,1
25810186,34526884,1
8519218,15634981,1
94062266,643445235,1
4925223,3482588,1
33611326,45717250,1
110555921,45717250,1
15799167,155220641,1
79269587,557980,1
29868128,45717250,1
43048142,15634981,1
53430452,643445235,1
18139342,557980,1
24660299,557980,1
26332583,45717250,1
13151189,34526884,1
15800200,155220641,1
1132466,643445235,1
7644345,45717250,1
128923633,643445235,1
3907929,15634981,1
39013067,3482588,1
5103613,45717250,1
4365899,34526884,1
60046681,15634981,1
11407254,155220641,1
5228438,643445235,1
78537694,155220641,1
1424850,557980,1
13557235,34526884,1
248124294,15634981,1
3896884,3482588,1
9939075,557980,1
12436824,15634981,1
1305378,557980,1
28585532,3482588,1
31850902,643445235,1
48950,557980,1
7541346,45717250,1
4617245,155220641,1
40809717,45717250,1
856417,3482588,1
66433100,34526884,1
111493458,34526884,1
36662,557980,1
144048515,155220641,1
946619,643445235,1
643918,155220641,1
11037260,15634981,1
4218491,15634981,1
24583347,45717250,1
8407292,3482588,1
30793725,34526884,1
29594728,643445235,1
38927424,15634981,1
25317633,3482588,1
7550366,34526884,1
202674,557980,1
8983713,155220641,1
328992,45717250,1
25433194,557980,1
31217453,155220641,1
71766835,15634981,1
60097976,643445235,1
13313321,15634981,1
6346853,45717250,1
116997757,34526884,1
146881530,45717250,1
40335724,643445235,1
1187447,557980,1
48522685,155220641,1
595806,3482588,1
15820228,3482588,1
4745181,557980,1
10845858,34526884,1
13377123,643445235,1
9085465,3482588,1
8701,557980,1
48207171,643445235,1
1094111,3482588,1
10372036,557980,1
76979429,155220641,1
138013431,34526884,1
961094,643445235,1
58599908,155220641,1
76132,34526884,1
2448933,45717250,1
10364161,155220641,1
1770039,3482588,1
302469,15634981,1
35376950,15634981,1
414043,45717250,1
42224728,45717250,1
535101,557980,1
55907021,643445235,1
8591672,34526884,1
39310845,3482588,1
6058008,15634981,1
11765448,45717250,1
11141862,15634981,1
8353464,557980,1
11137436,45717250,1
550823,3482588,1
106387720,643445235,1
17189092,34526884,1
5164291,34526884,1
1530877,45717250,1
13215043,15634981,1
2233455,643445235,1
25722501,3482588,1
75096465,155220641,1
1513265,557980,1
5236035,155220641,1
26519539,155220641,1
9070198,15634981,1
11588555,34526884,1
15736910,45717250,1
1192527,643445235,1
145130284,3482588,1
2587873,15634981,1
4118060,15634981,1
41314366,643445235,1
144821361,155220641,1
163431,45717250,1
50087198,34526884,1
867741,557980,1
51926360,155220641,1
34172003,3482588,1
50272190,3482588,1
1681366,643445235,1
23378455,34526884,1
622337,557980,1
10111,45717250,1
2090391,557980,1
201100,557980,1
7821375,643445235,1
